unit_code,ACTCompositeScore_UNCMin_LEP,ACTEnglish_ACTBenchmark_LEP,ACTMath_ACTBenchmark_LEP,ACTReading_ACTBenchmark_LEP,ACTScience_ACTBenchmark_LEP,ACTSubtests_BenchmarksMet_LEP,ACTWorkKeys_SilverPlus_LEP,ACTWriting_ACTBenchmark_LEP,EOCBiology_CACR_LEP,EOCBiology_GLP_LEP,EOCEnglish2_CACR_LEP,EOCEnglish2_GLP_LEP,EOCMathI_CACR_LEP,EOCMathI_GLP_LEP,EOCSubjects_CACR_LEP,EOCSubjects_GLP_LEP,EOG/EOCSubjects_CACR_LEP,EOG/EOCSubjects_GLP_LEP,EOGGr3_CACR_LEP,EOGGr3_GLP_LEP,EOGGr4_CACR_LEP,EOGGr4_GLP_LEP,EOGGr5_CACR_LEP,EOGGr5_GLP_LEP,EOGGr6_CACR_LEP,EOGGr6_GLP_LEP,EOGGr7_CACR_LEP,EOGGr7_GLP_LEP,EOGGr8_CACR_LEP,EOGGr8_GLP_LEP,EOGMathGr3_CACR_LEP,EOGMathGr3_GLP_LEP,EOGMathGr3-8_CACR_LEP,EOGMathGr3-8_GLP_LEP,EOGMathGr4_CACR_LEP,EOGMathGr4_GLP_LEP,EOGMathGr5_CACR_LEP,EOGMathGr5_GLP_LEP,EOGMathGr6_CACR_LEP,EOGMathGr6_GLP_LEP,EOGMathGr7_CACR_LEP,EOGMathGr7_GLP_LEP,EOGMathGr8_CACR_LEP,EOGMathGr8_GLP_LEP,EOGReadingGr3_CACR_LEP,EOGReadingGr3_GLP_LEP,EOGReadingGr3-8_CACR_LEP,EOGReadingGr3-8_GLP_LEP,EOGReadingGr4_CACR_LEP,EOGReadingGr4_GLP_LEP,EOGReadingGr5_CACR_LEP,EOGReadingGr5_GLP_LEP,EOGReadingGr6_CACR_LEP,EOGReadingGr6_GLP_LEP,EOGReadingGr7_CACR_LEP,EOGReadingGr7_GLP_LEP,EOGReadingGr8_CACR_LEP,EOGReadingGr8_GLP_LEP,EOGScienceGr5_CACR_LEP,EOGScienceGr5_GLP_LEP,EOGScienceGr5&8_CACR_LEP,EOGScienceGr5&8_GLP_LEP,EOGScienceGr8_CACR_LEP,EOGScienceGr8_GLP_LEP,EOGSubjects_CACR_LEP,EOGSubjects_GLP_LEP,GraduationRate_4yr_LEP,GraduationRate_5yr_LEP
600481,,,,,,,,,,,,,0.0,0.0,0.0,0.0,12.9,21.3,,,,,,,0.0,0.0,10.5,13.2,17.2,29.9,,,11.3,21.0,,,,,0.0,7.1,10.5,15.8,17.2,31.0,,,6.5,9.7,,,,,0.0,0.0,10.5,10.5,6.9,13.8,,,27.6,44.8,27.6,44.8,12.4,20.9,,
600482,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,35.7,,,,,,,0.0,0.0,0.0,0.0,44.4,44.4,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,36.4,36.4,0.0,0.0
600485,,,,,,,,,,,,,,,,,18.2,40.9,28.6,50.0,0.0,40.0,0.0,0.0,,,,,,,28.6,57.1,18.2,45.5,0.0,0.0,0.0,0.0,,,,,,,28.6,42.9,20.0,40.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,18.2,40.9,,
600488,,,,,,,,,,,,,0.0,0.0,0.0,0.0,35.7,48.6,45.0,60.0,12.5,12.5,0.0,0.0,16.7,50.0,0.0,0.0,44.4,55.6,65.0,85.0,53.1,65.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,18.8,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,34.8,47.8,,
600489,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.3,12.5,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,33.3,33.3,20.0,60.0,9.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,8.3,12.5,,
600491,,,,,,,,,,,,,,,,,42.3,69.2,41.7,66.7,0.0,0.0,33.3,66.7,,,,,,,50.0,66.7,54.5,72.7,0.0,0.0,0.0,0.0,,,,,,,33.3,66.7,36.4,63.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,42.3,69.2,,
600492,,,,,,,,,,,,,,,,,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,40.0,40.0,,
600494,,,,,,,,,,,,,,,,,19.5,29.3,20.0,32.5,16.7,25.0,22.2,27.8,,,,,,,35.0,45.0,28.9,34.2,16.7,16.7,33.3,33.3,,,,,,,5.0,20.0,10.5,23.7,16.7,33.3,16.7,16.7,,,,,,,16.7,33.3,16.7,33.3,,,19.5,29.3,,
600496,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,50.0,0.0,0.0,18.2,45.5,23.8,47.6,23.8,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
600497,,,,,,,,,,,,,0.0,0.0,0.0,0.0,45.5,63.6,,,,,,,66.7,83.3,0.0,0.0,0.0,0.0,,,60.0,60.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,60.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,45.5,63.6,,
600498,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
